Division Code,#,Comp. Prd Name,Stockist product,Match,Pack,OPSTK,PURCH,SALE,SALE VAL,IN/OT,STOCK,STK VAL,DEC,NOV,STK120,EXP3M
,1,—,ABOCAL 500MG TAB,unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
,2,—,ABTIKA 60MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,3,—,ABTIKA 90MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,4,—,ABVIDA 50MG TAB,unmatched,15TAB,20.00,0,0,—,0,20.00,"₹2,823",0,0,20.00,0
,5,—,ABVIDA M 50MG/500MG TAB,unmatched,15TAB,13.00,10.00,9.00,"₹1,863",0,14.00,"₹2,608",2.00,2.00,0,0
,6,—,ABVIDA TRIO 500MG TAB,unmatched,10,9.00,0,0,—,0,9.00,"₹1,058",7.00,7.00,0,0
,7,—,ACITROM 1.5MG,unmatched,30,38.00,0,0,—,-38.00,0,—,0,0,0,0
,8,—,ACITROM 1MG TAB,unmatched,30TAB,24.00,0,2.00,₹503,0,22.00,"₹4,983",12.00,17.00,0,0
,9,—,ACITROM 2.5MG TAB,unmatched,30TAB,0,0,0,—,0,0,—,0,0,0,0
,10,—,ACITROM 2MG TAB,unmatched,30TAB,14.00,10.00,5.00,"₹1,971",0,19.00,"₹7,415",17.00,8.00,0,0
,11,—,ACITROM 3.5MG,unmatched,30,43.00,0,0,—,-43.00,0,—,0,0,0,0
,12,—,ACITROM 3MG TAB,unmatched,30TAB,16.00,0,7.00,"₹3,526",0,9.00,"₹4,080",19.00,10.00,0,0
,13,—,ACITROM 4MG TAB,unmatched,30TAB,19.00,10.00,10.00,"₹5,374",0,19.00,"₹9,189",12.00,10.00,0,0
,14,—,ACUVERT 5MG TAB,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,15,—,AMISANT 100MG TAB,unmatched,10TAB,10.00,0,0,—,0,10.00,"₹1,364",0,0,10.00,0
,16,—,AMISANT 50MG TAB,unmatched,10TAB,10.00,0,0,—,0,10.00,₹664,0,0,10.00,0
,17,—,ANAFORTAN INJ,unmatched,2ML,0,100.00,0,—,0,100.00,"₹2,561",100.00,0,0,0
,18,—,ANAFORTAN TAB,unmatched,15TAB,13.00,0,1.00,₹72,0,12.00,₹773,11.00,10.00,0,0
,19,—,AQUAVIRON CAP,unmatched,10CAP,13.00,0,2.00,₹368,0,11.00,"₹1,822",2.00,0,11.00,0
,20,—,AQUAVIRON INJ,unmatched,1ML,72.00,0,6.00,"₹1,109",0,66.00,"₹10,982",156.00,36.00,0,0
,21,—,ARACHITOL 6L INJ,unmatched,6X1ML,70.00,20.00,54.00,"₹20,930",0,36.00,"₹12,558",58.00,48.00,0,0
,22,—,ARACHITOL NANO 60K IU SF,unmatched,4X5ML,116.00,120.00,170.00,"₹53,381",0,66.00,"₹19,573",122.00,87.00,0,0
,23,—,B STIL 24MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,24,—,BASITON FORTE TAB,unmatched,15TAB,8.00,0,4.00,₹174,0,4.00,₹156,6.00,8.00,4.00,0
,25,—,BETOGAIN SYRUP,unmatched,200ML,0,0,0,—,0,0,—,0,0,0,0
,26,—,BETONIN AST,unmatched,225ML,46.00,40.00,37.00,"₹6,996",0,49.00,"₹8,338",34.00,40.00,0,0
,27,—,BETONIN AST medica,unmatched,210ML,0,0,0,—,0,0,—,0,0,0,0
,28,—,BILAZEST 20MG TAB,unmatched,10,49.00,0,30.00,"₹4,659",0,19.00,"₹2,655",70.00,59.00,0,0
,29,—,BILAZEST M TAB,unmatched,10TAB,78.00,0,53.00,"₹8,757",0,25.00,"₹3,718",49.00,49.00,0,0
,30,—,BISOSAFE 5MG,unmatched,10,0,0,0,—,0,0,—,0,0,0,0
,31,—,BISOSAFE AM 2.5MG TAB,unmatched,10TAB,6.00,0,3.00,₹149,0,3.00,₹134,0,1.00,0,0
,32,—,BISOSAFE AM 5MG TAB,unmatched,10TAB,29.00,0,0,—,0,29.00,"₹1,739",0,0,29.00,0
,33,—,BISOSAFE T 2.5MG+40MG TAB,unmatched,10TAB,16.00,0,0,—,-16.00,0,—,0,1.00,0,0
,34,—,BISOSAFE T 5MG+40MG TAB,unmatched,10TAB,2.00,0,2.00,₹179,0,0,—,0,7.00,0,0
,35,—,BRIVAJOY 25MG TAB,unmatched,14,16.00,0,0,—,2.00,18.00,"₹1,782",4.00,0,16.00,0
,36,—,BRIVAJOY 50MG TAB,unmatched,14TAB,6.00,20.00,4.00,₹910,0,22.00,"₹5,504",19.00,5.00,0,0
,37,—,BRUFEN 200MG TAB,unmatched,15TAB,87.00,0,61.00,₹523,0,26.00,₹202,53.00,44.00,0,0
,38,—,BRUFEN 400MG TAB,unmatched,20,162.00,0,65.00,"₹1,252",0,97.00,"₹1,702",102.00,151.00,0,0
,39,—,BRUFEN 600MG TAB,unmatched,15TAB,99.00,0,62.00,"₹1,731",8.00,45.00,"₹1,226",81.00,47.00,0,0
,40,—,BRUGEL ACTIFAST GEL,unmatched,30GM,9.00,0,1.00,₹165,0,8.00,"₹1,191",4.00,17.00,0,0
,41,—,CANDY COP PRO TOOTH PASTE,unmatched,50GM,0,30.00,0,—,0,30.00,"₹4,485",0,0,0,0
,42,—,CITRO-SODA,unmatched,4GM,701.00,0,429.00,"₹9,420",11.00,283.00,"₹6,107",395.00,625.00,0,0
,43,—,CITRO-SODA UTI,unmatched,5GM,68.00,0,0,—,-68.00,0,—,7.00,31.00,0,0
,44,—,CLARIBID 250 DS SUSP,unmatched,30ML,0,0,0,—,0,0,—,0,0,0,0
,45,—,CLARIBID 250MG TAB (DPCO),unmatched,10TAB,83.00,0,52.00,"₹10,183",5.00,36.00,"₹6,345",67.00,38.00,0,0
,46,—,CLARIBID 500MG TAB (DPCO),unmatched,10TAB,83.00,200.00,158.00,"₹49,999",0,125.00,"₹36,476",111.00,68.00,0,0
,47,—,CLARIBID OD 1MG,unmatched,7,10.00,0,0,—,0,10.00,"₹3,614",0,0,0,0
,48,—,CLARIBID OD 500MG TAB,unmatched,7TAB,34.00,0,13.00,"₹3,249",0,21.00,"₹4,724",24.00,35.00,0,0
,49,—,COLOSPA 135MG TAB,unmatched,15TAB,46.00,0,24.00,"₹7,375",0,22.00,"₹6,136",17.00,30.00,0,0
,50,—,COLOSPA RETARD CAP,unmatched,15CAP,15.00,0,9.00,"₹3,972",5.00,11.00,"₹4,369",12.00,28.00,0,0
,51,—,COLOSPA X TAB,unmatched,20TAB,45.00,0,20.00,"₹6,380",0,25.00,"₹7,178",11.00,28.00,0,0
,52,—,COMBINORM CAP,unmatched,15CAP,0,0,0,—,0,0,—,0,0,0,0
,53,—,COMBINORM PLUS CAP,unmatched,NA,9.00,0,2.00,"₹1,044",0,7.00,"₹3,289",1.00,0,7.00,0
,54,—,CREMA-ANO CREAM,unmatched,20GM,4.00,0,2.00,₹265,0,2.00,₹238,1.00,0,2.00,0
,55,—,CREMAFFIN MF,unmatched,450ML,16.00,16.00,21.00,"₹6,138",0,11.00,"₹2,894",25.00,35.00,0,0
,56,—,CREMAFFIN MINT,unmatched,225ML,155.00,0,79.00,"₹18,404",0,76.00,"₹16,603",114.00,176.00,0,0
,57,—,CREMAFFIN MIX-FRUIT,unmatched,225ML,41.00,60.00,62.00,"₹13,682",0,39.00,"₹7,745",60.00,19.00,0,0
,58,—,CREMAFFIN PLUS,unmatched,225ML,305.00,0,217.00,"₹55,849",0,88.00,"₹20,383",302.00,243.00,0,0
,59,—,CREMAGEL 2%,unmatched,30GM,12.00,0,12.00,"₹2,196",0,0,—,8.00,206.00,0,0
,60,—,CREMAGEL L,unmatched,30GM,18.00,0,10.00,"₹2,377",0,8.00,"₹1,711",24.00,15.00,0,0
,61,—,CREMALAX 10MG TAB,unmatched,6TAB,72.00,"1,080.00",137.00,"₹8,323",0,"1,015.00","₹58,281",107.00,101.00,0,0
,62,—,CREMAPEG SALES KIT,unmatched,200ML,3.00,0,1.00,₹520,0,2.00,₹477,0,0,2.00,0
,63,—,CREMAPEG SOLUTION,unmatched,200ML,0,0,0,—,0,0,—,0,0,0,0
,64,—,CROTOREX HC CREAM,unmatched,10GM,22.00,0,8.00,₹566,0,14.00,₹912,11.00,5.00,0,0
,65,—,CYTOGARD 20MG TAB,unmatched,10TAB,11.00,6.00,8.00,₹912,0,9.00,"₹1,016",1.00,3.00,3.00,0
,66,—,CYTOGARD MR 35MG TAB,unmatched,10,7.00,0,3.00,₹407,0,4.00,₹489,3.00,4.00,0,0
,67,—,CYTOGARD OD 60MG CAP,unmatched,15,18.00,20.00,15.00,"₹6,070",0,23.00,"₹8,377",16.00,18.00,0,0
,68,—,CYTOGARD OD 80MG CAP,unmatched,10CAP,11.00,0,0,—,0,11.00,"₹2,430",1.00,10.00,0,0
,69,—,DABLEXA 110MG CAP,unmatched,10CAP,9.00,10.00,9.00,"₹2,330",0,10.00,"₹2,330",3.00,5.00,0,0
,70,—,DABLEXA 150MG CAP,unmatched,10CAP,12.00,0,0,—,0,12.00,"₹3,128",0,5.00,0,0
,71,—,DELETUS BL SYRUP,unmatched,100ML,56.00,0,8.00,₹876,0,48.00,"₹4,786",21.00,13.00,0,0
,72,—,DELETUS BX NEW SYRUP,unmatched,100ML,20.00,50.00,16.00,"₹1,653",0,54.00,"₹5,149",13.00,18.00,0,0
,73,—,DELETUS D PLUS SYRUP,unmatched,100ML,110.00,55.00,107.00,"₹12,740",0,58.00,"₹6,274",101.00,65.00,0,0
,74,—,DELETUS LS JR. SYRUP,unmatched,60ML,26.00,60.00,25.00,"₹1,882",0,61.00,"₹4,306",42.00,9.00,0,0
