Division Code,#,Comp. Prd Name,Stockist product,Match,Pack,OPSTK,PURCH,SALE,SALE VAL,IN/OT,STOCK,STK VAL,DEC,NOV,STK120,EXP3M
,182,—,HANSEPRAN 50 MG CAP,unmatched,10CAP,100.00,0,16.00,₹270,0,84.00,"₹1,276",58.00,68.00,0,0
,183,—,HFTRIL 50MG,unmatched,14,13.00,0,4.00,"₹1,355",0,9.00,"₹2,744",4.00,3.00,0,0
,184,—,HYDENT 360 MOUTH WASH,unmatched,100ML,11.00,0,3.00,₹403,1.00,9.00,"₹1,087",4.00,1.00,9.00,0
,185,—,HYDENT K NEW,unmatched,100GM,0,0,0,—,0,0,—,0,0,0,0
,186,—,HYDENT PRO TOOTHPASTE,unmatched,70GM,13.00,10.00,12.00,"₹3,059",0,11.00,"₹2,524",9.00,13.00,0,0
,187,—,HYTRIN 1MG,unmatched,10,8.00,0,2.00,₹419,0,6.00,"₹1,132",10.00,5.00,0,0
,188,—,HYTRIN 1MG TAB,unmatched,10TAB,10.00,30.00,24.00,"₹5,029",0,16.00,"₹3,017",9.00,6.00,0,0
,189,—,HYTRIN 2MG,unmatched,10,0,40.00,3.00,₹932,0,37.00,"₹10,340",0,0,0,0
,190,—,HYTRIN 2MG TAB,unmatched,10TAB,15.00,0,15.00,"₹4,658",0,0,—,15.00,0,0,0
,191,—,I TYZA 100MG,unmatched,10,7.00,10.00,7.00,₹950,0,10.00,"₹1,221",5.00,6.00,0,0
,192,—,I TYZA 200MG CAP,unmatched,10CAP,30.00,0,3.00,₹540,0,27.00,"₹4,374",1.00,6.00,0,0
,193,—,I TYZA SB 100,unmatched,10,0,0,0,—,0,0,—,0,0,0,0
,194,—,INDERAL 10MG,unmatched,15,60.00,80.00,96.00,"₹1,532",-4.00,40.00,₹574,89.00,64.00,0,0
,195,—,INDERAL 20MG,unmatched,15,57.00,0,22.00,₹858,0,35.00,"₹1,229",15.00,22.00,0,0
,196,—,INDERAL 40MG,unmatched,15,84.00,40.00,76.00,"₹2,985",0,48.00,"₹1,697",72.00,37.00,0,0
,197,—,INDERAL LA 20MG TAB,unmatched,15TAB,70.00,60.00,73.00,"₹2,847",0,57.00,"₹2,001",75.00,36.00,0,0
,198,—,INDERAL LA 40MG,unmatched,15,55.00,30.00,45.00,"₹1,768",0,40.00,"₹1,414",35.00,27.00,0,0
,199,—,IVABID 5MG TAB,unmatched,14TAB,9.00,0,2.00,₹658,0,7.00,"₹2,072",6.00,8.00,0,0
,200,—,IVABID 7.5 TAB,unmatched,14,0,0,0,—,0,0,—,0,0,0,0
,201,—,IVABID OD 10MG TAB,unmatched,10TAB,8.00,10.00,8.00,"₹2,928",0,10.00,"₹3,294",2.00,7.00,0,0
,202,—,IVABID OD 15MG TAB,unmatched,10,0,0,0,—,0,0,—,0,0,0,0
,203,—,JANUMET 50/1000MG TAB,unmatched,15TAB,111.00,50.00,45.00,"₹12,214",0,116.00,"₹28,338",38.00,128.00,0,0
,204,—,JANUMET 50/500MG TAB,unmatched,15TAB,196.00,150.00,141.00,"₹37,768",2.00,207.00,"₹49,904",204.00,262.00,0,0
,205,—,JANUMET XR CP,unmatched,7+7,53.00,20.00,26.00,"₹5,757",0,47.00,"₹9,367",7.00,31.00,0,0
,206,—,JANUVIA 100MG TAB,unmatched,7,135.00,100.00,84.00,"₹17,700",0,151.00,"₹28,636",117.00,79.00,0,0
,207,—,JANUVIA 50MG TAB,unmatched,7,101.00,100.00,117.00,"₹24,237",0,84.00,"₹15,660",73.00,45.00,0,0
,208,—,KENACORT 10MG INJ,unmatched,1ML,91.00,100.00,91.00,"₹5,982",0,100.00,"₹6,118",40.00,57.00,0,0
,209,—,KENACORT 40MG INJ,unmatched,1ML,175.00,0,49.00,"₹7,917",0,126.00,"₹18,322",76.00,107.00,0,0
,210,—,KENACORT 4MG TAB,unmatched,15,30.00,0,5.00,₹694,0,25.00,"₹3,122",16.00,10.00,0,0
,211,—,KENACORT HEXA 20MG INJ,unmatched,1ML,0,0,0,—,0,0,—,0,0,0,0
,212,—,KENACORT NEW 0.1%APPLICATOR,unmatched,7.5GM,89.00,800.00,808.00,"₹95,127",0,81.00,"₹9,461",90.00,67.00,0,0
,213,—,KETOMASTER SHAMPOO,unmatched,100ML,22.00,10.00,20.00,"₹6,322",0,12.00,"₹3,594",2.00,17.00,0,0
,214,—,LEVESAM 250MG (DPCO),unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
,215,—,LEVESAM 500MG TAB (DPCO),unmatched,15TAB,30.00,0,8.00,"₹1,268",0,22.00,"₹3,138",24.00,8.00,0,0
,216,—,LIBRAX TAB,unmatched,20TAB,359.00,0,263.00,"₹41,849",0,96.00,"₹13,748",247.00,81.00,0,0
