stockist_code,year,month,month_label,pdf_filename,original_name,date_str,time_str,page_count,page_bucket
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665233112.pdf,rptmonthlysalesandstock7160202665233112,20260124,123052,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665247529.pdf,rptmonthlysalesandstock7160202665247529,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665328.pdf,rptmonthlysalesandstock7160202665328,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665336643.pdf,rptmonthlysalesandstock7160202665336643,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665343490.pdf,rptmonthlysalesandstock7160202665343490,20260124,123052,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665349719.pdf,rptmonthlysalesandstock7160202665349719,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock716020266538371.pdf,rptmonthlysalesandstock716020266538371,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665411331.pdf,rptmonthlysalesandstock7160202665411331,20260124,123052,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665421724.pdf,rptmonthlysalesandstock7160202665421724,20260124,123052,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665428755.pdf,rptmonthlysalesandstock7160202665428755,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock716020266543573.pdf,rptmonthlysalesandstock716020266543573,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock716020266543689.pdf,rptmonthlysalesandstock716020266543689,20260124,123052,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665442137.pdf,rptmonthlysalesandstock7160202665442137,20260124,123052,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123053_rptMonthlySalesAndStock7160202665220128.pdf,rptmonthlysalesandstock7160202665220128,20260124,123053,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123053_rptMonthlySalesAndStock7160202665356642.pdf,rptmonthlysalesandstock7160202665356642,20260124,123053,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123054_rptMonthlySalesAndStock7160202665254401.pdf,rptmonthlysalesandstock7160202665254401,20260124,123054,2,2_pages
